,title,price,images,rate,total rate
0,"Galaxy A05 LTE, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 128GB Storage, Black","5,699",https://m.media-amazon.com/images/I/71dYQdmhwFL._AC_UL320_.jpg 1x,3.8,50
1,Galaxy A15 Dual SIM 6GB Ram+128GB ROM (6.5 Inches) (4G LTE) - (Light Blue),"6,649",https://m.media-amazon.com/images/I/61cl1NEIrdL._AC_UL320_.jpg 1x,3.9,772
2,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Navy - 1 year Warranty","18,599",https://m.media-amazon.com/images/I/61ERH+yIyiL._AC_UL320_.jpg 1x,3.9,110
3,"Galaxy A05 LTE, Android Smartphone, Dual SIM, 6GB RAM, 128GB Storage, Black - 1 year Warranty","6,444",https://m.media-amazon.com/images/I/61xn0PNMjIL._AC_UL320_.jpg 1x,3.7,32
4,"Galaxy A05s, Android Smartphone, Dual SIM Mobile Phone, LTE, 6GB RAM, 128GB Storage, Black","5,867",https://m.media-amazon.com/images/I/61jBR+KUEDL._AC_UL320_.jpg 1x,4.0,238
5,"Galaxy A35 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Navy","14,439",https://m.media-amazon.com/images/I/61Dz4UF90XL._AC_UL320_.jpg 1x,4.1,42
6,"RB34T671FS9 No Frost 344 Liters - 13 Cubic Feet Refrigerator with Freezer on Bottom, Silver- (local warranty)","24,999",https://m.media-amazon.com/images/I/41wnwn6GjOL._AC_UL320_.jpg 1x,4.3,102
7,"Galaxy S24 Ultra, AI Android Smartphone, 256GB Storage, 12GB RAM, 200MP Camera, S Pen, Long Battery Life, Titanium Black - 1 year Local Warranty","48,399",https://m.media-amazon.com/images/I/719HV2e6-sL._AC_UL320_.jpg 1x,4.1,429
8,Galaxy A15 Dual SIM 8GB Ram+256GGB ROM (6.5 Inches) (4G LTE) - (Light Blue),"8,085",https://m.media-amazon.com/images/I/51Cida8RecL._AC_UL320_.jpg 1x,3.9,772
9,Galaxy A15 Dual SIM 8GB Ram+256GGB ROM (6.5 Inches) (4G LTE) - (Black),"8,075",https://m.media-amazon.com/images/I/514nSB8S9pL._AC_UL320_.jpg 1x,3.9,772
10,A25 8-256 Light Blue,"10,839",https://m.media-amazon.com/images/I/614qsXB-XUL._AC_UL320_.jpg 1x,3.8,38
11,"Galaxy M33, Dual SIM, 8GB RAM, 128GB Storage, 5G, Brown - 1 year Warranty","7,999",https://m.media-amazon.com/images/I/71rc4wx5L5L._AC_UL320_.jpg 1x,3.9,53
12,Galaxy A54 Dual SIM 8GB Ram+128GB ROM (6.23 Inches) (5G) - (Awesome Graphite),"18,599",https://m.media-amazon.com/images/I/71xU8w3fHJL._AC_UL320_.jpg 1x,4.1,311
13,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Iceblue - 1 year Warranty","6,099",https://m.media-amazon.com/images/I/71iDfC-A+GL._AC_UL320_.jpg 1x,3.9,110
14,"Galaxy A05s, Android Smartphone, Dual SIM Mobile Phone, LTE, 6GB RAM, 128GB Storage, Silver","21,399",https://m.media-amazon.com/images/I/61SDL9BHt6L._AC_UL320_.jpg 1x,4.0,238
15,WASHING MACHINE 9KG 1400RPM DIGITAL INVERTER STEAM INOX WW90T4040CX1AS- (local warranty),"4,399",https://m.media-amazon.com/images/I/51H0kUL24XL._AC_UL320_.jpg 1x,4.0,49
16,"A04S 3GB Ram, 32GB - Black","19,999",https://m.media-amazon.com/images/I/51P4huodC+L._AC_UL320_.jpg 1x,3.8,41
17,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Lilac - 1 year Warranty","7,599",https://m.media-amazon.com/images/I/71HHuzT9m2L._AC_UL320_.jpg 1x,3.9,110
18,32 Inch Full HD Smart LED TV with Built-in Receiver - Black - UA32T5300AUXEG,"20,999",https://m.media-amazon.com/images/I/71iOlIb-3FL._AC_UL320_.jpg 1x,4.1,535
19,WW80T4040CX1 Front Load with Hygiene Steam 8.0Kg- (local warranty),"17,750",https://m.media-amazon.com/images/I/51BgjX+VKPL._AC_UL320_.jpg 1x,3.6,22
20,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Navy - 1 year Warranty","6,333",https://m.media-amazon.com/images/I/61ERH+yIyiL._AC_UL320_.jpg 1x,4.3,71
21,Galaxy A15 Dual SIM 4GB Ram+128GB ROM (6.5 Inches) (4G LTE) - (Yellow),"5,706",https://m.media-amazon.com/images/I/61hdrs3-MuL._AC_UL320_.jpg 1x,3.9,772
22,"Galaxy A05 LTE, Android Smartphone, Dual SIM, 6GB RAM, 128GB Storage, Light Green - 1 year Warranty","19,999",https://m.media-amazon.com/images/I/71W7+KmTwYL._AC_UL320_.jpg 1x,3.7,32
23,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Lemon - 1 year Warranty","6,666",https://m.media-amazon.com/images/I/71Azxw1VWeL._AC_UL320_.jpg 1x,3.9,110
24,Galaxy A15 Dual SIM 6GB Ram+128GB ROM (6.5 Inches) (4G LTE) - (Black Blue ),"16,999",https://m.media-amazon.com/images/I/61isHdQ+TDL._AC_UL320_.jpg 1x,3.9,772
25,50 Inch 4K UHD Smart LED TV - Black - UA50DU7000UXEG [2024 Model],"18,599",https://m.media-amazon.com/images/I/61aLpgXQTVL._AC_UL320_.jpg 1x,5.0,8
26,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Lemon - 1 year Warranty","18,599",https://m.media-amazon.com/images/I/71Azxw1VWeL._AC_UL320_.jpg 1x,4.3,71
27,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Iceblue - 1 year Warranty","10,099",https://m.media-amazon.com/images/I/71iDfC-A+GL._AC_UL320_.jpg 1x,4.3,71
28,"Galaxy A25 5G, Android Smartphone, Dual SIM Mobile Phone, 6GB RAM, 128GB Storage, Light Blue - 1 year Warranty","6,666",https://m.media-amazon.com/images/I/614qsXB-XUL._AC_UL320_.jpg 1x,3.3,18
29,"Galaxy A05 LTE, Android Smartphone, Dual SIM, 6GB RAM, 128GB Storage, Silver - 1 year Warranty","13,499",https://m.media-amazon.com/images/I/61OpPAw757L._AC_UL320_.jpg 1x,3.7,32
30,"Galaxy A35 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Navy (UAE Version)","10,099",https://m.media-amazon.com/images/I/61Dz4UF90XL._AC_UL320_.jpg 1x,4.1,42
31,"Galaxy A25 5G, Android Smartphone, Dual SIM Mobile Phone, 6GB RAM, 128GB Storage, Black - 1 year Warranty","48,300",https://m.media-amazon.com/images/I/61n8R-QRkUL._AC_UL320_.jpg 1x,3.8,30
32,"Galaxy S24 Ultra, AI Android Smartphone, 256GB Storage, 12GB RAM, 200MP Camera, S Pen, Long Battery Life, Titanium Gray - 1 year Local Warranty","6,199",https://m.media-amazon.com/images/I/713icYPjIZL._AC_UL320_.jpg 1x,4.1,429
33,"Galaxy A05s, Android Smartphone, Dual SIM Mobile Phone, LTE, 6GB RAM, 128GB Storage, Light Violet","12,250",https://m.media-amazon.com/images/I/61TEyjMZbNL._AC_UL320_.jpg 1x,4.0,238
34,Galaxy A34 Dual SIM 8GB Ram+128GB ROM (6.5 Inches) (4G) - (Awesome Graphite),"22,831",https://m.media-amazon.com/images/I/71RqyKk2eBL._AC_UL320_.jpg 1x,4.3,177
35,50 Inch TV Crystal Processor 4K LED with Built-in Receiver - Black - UA50CU8000UXEG [2023 Model],"11,099",https://m.media-amazon.com/images/I/61tIUqwUlCL._AC_UL320_.jpg 1x,4.0,299
36,A25 8-256 Blue Black,"6,149",https://m.media-amazon.com/images/I/61n8R-QRkUL._AC_UL320_.jpg 1x,3.8,38
37,Galaxy A15 Dual SIM 4GB Ram+128GB ROM (6.5 Inches) (4G LTE) - (Light Blue),"6,610",https://m.media-amazon.com/images/I/61cl1NEIrdL._AC_UL320_.jpg 1x,3.9,772
38,Galaxy A15 Dual SIM 6GB Ram+128GB ROM (6.5 Inches) (4G LTE) - (Yellow),"13,899",https://m.media-amazon.com/images/I/61hdrs3-MuL._AC_UL320_.jpg 1x,3.9,772
39,"Galaxy A35 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Iceblue (UAE Version)","5,420",https://m.media-amazon.com/images/I/61Wp5qhgwzL._AC_UL320_.jpg 1x,4.1,42
40,"Galaxy A05s, Android Smartphone, Dual SIM Mobile Phone, LTE, 4GB RAM, 128GB Storage, Silver","9,090",https://m.media-amazon.com/images/I/61SDL9BHt6L._AC_UL320_.jpg 1x,4.0,238
41,40 liter microwave oven - mg402madxbb ( international warranty ),"6,149",https://m.media-amazon.com/images/I/51kSz6yqVOL._AC_UL320_.jpg 1x,4.0,85
42,Galaxy A15 Dual SIM 4GB Ram+128GB ROM (6.5 Inches) (4G LTE) - Blue Black,"20,999",https://m.media-amazon.com/images/I/61isHdQ+TDL._AC_UL320_.jpg 1x,3.9,772
43,WW80T4020CX1AS Digital Inverter Front Loading Washing Machine - 8Kg - Inox - (local warranty),"18,599",https://m.media-amazon.com/images/I/615gwE4DIkL._AC_UL320_.jpg 1x,3.9,19
44,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Lilac - 1 year Warranty","5,599",https://m.media-amazon.com/images/I/71HHuzT9m2L._AC_UL320_.jpg 1x,4.3,71
45,"Galaxy A05s, Android Smartphone, Dual SIM Mobile Phone, LTE, 4GB RAM, 128GB Storage, Black","45,498",https://m.media-amazon.com/images/I/61jBR+KUEDL._AC_UL320_.jpg 1x,4.0,238
46,Home Appliances Bundle (WW70T4020CX1AS Digital Inverter Front Loading Washing Machine - 7Kg - Inox and RT40A3010SA/MR 396L Refrigerator),"22,999",https://m.media-amazon.com/images/I/414T5MaZRGL._AC_UL320_.jpg 1x,4.3,13
47,55 Inch QLED Smart TV Neural HDR Quantum Processor Lite 4K - QA55Q60DAUXEG [2024 Model],,https://m.media-amazon.com/images/I/61lS0qrz1OL._AC_UL320_.jpg 1x,3.5,8
